,text
0,"['virginamerica', 'everything', 'fine', 'lost', 'bag', 'baggage', 'telephone', 'bag', 'bag', 'table', 'table', 'baggage', 'clothing', 'worldwideweb', 'call', 'internet', 'bag', 'website']"
1,"['virginamerica', 'understand', 'need', 'dm', 'give', 'answer', 'damaged', 'luggage', 'policy', 'solution', 'message', 'answer', 'lost', 'address', 'online', 'hang', 'support', 'hang', 'web', 'reservation', 'network', 'class']"
2,"['virginamerica', 'mean', 'policy', 'destroyed', 'luggage', 'baggage', 'web', 'bag', 'bag', 'bag', 'clothing', 'message', 'baggage', 'table', 'table', 'telephone', 'apparel', 'floor']"
3,"['virginamerica', 'were', 'flight', '910', 'vega', 'boston', 'today', 'checked', 'online', 'bag', 'count', 'register', 'fix', 'somehow', 'bag', 'bag', 'clothing', 'baggage', 'telephone', 'table', 'table', 'baggage', 'apparel', 'floor', 'website', 'web', 'worldwideweb']"
4,"['virginamerica', 'luggage', 'severely', 'dentedmissing', 'wheel', 'coming', 'baggage', 'claim', 'san', 'luggage', 'agent', 'miranda', 'i', 'think', 'help', 'baggage', 'bag', 'bag', 'web', 'clothing', 'bag', 'baggage', 'table', 'table', 'telephone', 'customer', 'apparel', 'floor']"
5,"['virginamerica', 'already', 'contacted', 'central', 'baggage', 'amp', 'sent', 'dm', 'renttherunway', 'charging', 'dress', 'lost', 'suitcase', 'help', 'clothing', 'baggage', 'bag', 'apparel', 'bag', 'bag', 'floor', 'web', 'baggage', 'table', 'table', 'telephone', 'worldwideweb']"
6,"['virginamerica', 'lost', 'luggage', '4', 'day', 'ago', 'flight', 'vx', '112', 'lax', 'iad', 'amp', 'im', 'calling', 'every', 'day', 'responseplease', 'give', 'back', 'stuff', 'communication', 'message', 'error', 'aid', 'support', 'reply', 'class', 'booking', 'bag', 'network', 'class', 'class', 'call']"
7,"['virginamerica', 'luggage', 'gone', 'ive', 'filed', 'paperwork', 'promised', 'callemail', 'still', 'resolution', 'response', 'central', 'luggage', 'solution', 'communication', 'message', 'answer', 'aid', 'support', 'electronicmail', 'service', 'reply', 'reservation', 'error', 'support', 'service']"
8,"['virginamerica', 'spend', '5', 'hour', 'worrying', 'item', 'carryon', 'would', 'brokenstolen', 'since', 'carry', 'plane', 'lock', 'bag', 'bag', 'bag', 'baggage', 'telephone', 'clothing', 'table', 'table', 'baggage', 'web', 'website', 'apparel', 'floor', 'worldwideweb']"
9,"['united', 'car', 'seat', 'lost', 'united', 'reimburse', 'new', 'one', 'pair', 'shoe', 'necessity', 'child', 'bag', 'bag', 'baggage', 'web', 'clothing', 'bag', 'baggage', 'table', 'table', 'telephone', 'apparel', 'floor', 'worldwideweb']"
