tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,label
5.70294E+17,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,,24-02-2015 10:48,1/1 loner squad,Eastern Time (US & Canada),0
5.70278E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,,24-02-2015 09:42,west covina,Pacific Time (US & Canada),0
5.70266E+17,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,24-02-2015 08:55,,,0
5.70257E+17,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,24-02-2015 08:18,714,Mountain Time (US & Canada),0
5.70085E+17,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,23-02-2015 20:55,,Pacific Time (US & Canada),0
5.70045E+17,positive,1,,,Virgin America,,Nicsplace,,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",,23-02-2015 18:19,Central Texas,,0
5.70011E+17,neutral,1,,,Virgin America,,BobGlavinVO,,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,,23-02-2015 16:01,"New York, NY",Eastern Time (US & Canada),0
5.70007E+17,positive,0.657,,,Virgin America,,joyabsalon,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,,23-02-2015 15:46,Northern Virginia,Eastern Time (US & Canada),0
5.70001E+17,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,23-02-2015 15:24,,Atlantic Time (Canada),0
5.69989E+17,neutral,1,,,Virgin America,,emilybg78,,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,,23-02-2015 14:36,"Stockton, CA",Arizona,0
5.69987E+17,neutral,1,,,Virgin America,,SocialPLC,,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",,23-02-2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada),0
5.69986E+17,positive,1,,,Virgin America,,jeffreymace01,,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,,23-02-2015 14:25,,,0
5.69935E+17,negative,1,Customer Service Issue,1,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,23-02-2015 11:02,,,0
5.69933E+17,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,23-02-2015 10:54,Los Angeles,,0
5.69894E+17,negative,1,Customer Service Issue,1,Virgin America,,louisjenny,,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,,23-02-2015 08:19,Washington DC,Quito,0
5.69649E+17,neutral,1,,,Virgin America,,F6x,,0,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,"[40.64662464, -73.77090177]",22-02-2015 16:05,"San Francisco, CA",Pacific Time (US & Canada),0
5.69627E+17,negative,1,Customer Service Issue,1,Virgin America,,tfaz,,0,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,,22-02-2015 14:39,"Oakland, California",Pacific Time (US & Canada),0
5.69614E+17,positive,1,,,Virgin America,,HollywoodHotMom,,0,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,,22-02-2015 13:45,All Over!,Pacific Time (US & Canada),0
5.69541E+17,negative,0.6517,Customer Service Issue,0.3371,Virgin America,,sbaaronson,,0,@VirginAmerica is the website down?,,22-02-2015 08:56,Los Angeles,,0
5.69316E+17,positive,1,,,Virgin America,,archiegips,,0,@VirginAmerica Only way to fly! #Elevate #Gold,,21-02-2015 18:02,LaLa Land,Pacific Time (US & Canada),0
5.69311E+17,neutral,0.653,,,Virgin America,,obiwantoby,,0,@VirginAmerica If only you guys had flights from CMH.,,21-02-2015 17:43,,Quito,0
5.69304E+17,negative,1,Flight Booking Problems,0.6705,Virgin America,,alexrkonrad,,0,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,,21-02-2015 17:13,"New York, NY",Eastern Time (US & Canada),0
5.69262E+17,negative,1,Customer Service Issue,0.6733,Virgin America,,MaximWheatley,,0,@VirginAmerica Your website is down and I'm trying to check in!,,21-02-2015 14:27,"Washington, DC",Atlantic Time (Canada),0
5.69247E+17,negative,1,Late Flight,1,Virgin America,,wmrrock,,0,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,,21-02-2015 13:28,CT,Eastern Time (US & Canada),0
5.69239E+17,negative,1,Cancelled Flight,0.6735,Virgin America,,MistakeCakeJake,,0,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,,21-02-2015 12:54,,Central Time (US & Canada),0
5.69237E+17,negative,1,Customer Service Issue,0.6968,Virgin America,,NoelArtiles,,0,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,"[0.0, 0.0]",21-02-2015 12:48,"Austin, TX",Central Time (US & Canada),0
5.69236E+17,neutral,0.634,,0,Virgin America,,floatingatoll,,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",,21-02-2015 12:45,"Silicon Valley, California",Pacific Time (US & Canada),0
5.69231E+17,negative,0.664,Cancelled Flight,0.3412,Virgin America,,aaronkurlander,,0,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,,21-02-2015 12:23,"New York, NY",Eastern Time (US & Canada),0
5.69227E+17,negative,1,Customer Service Issue,0.6766,Virgin America,,borknagar,,0,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,,21-02-2015 12:07,chile,Santiago,0
5.69213E+17,positive,0.7081,,,Virgin America,,stefanpinto,,0,@VirginAmerica Like http://t.co/VPqEm31XUQ,,21-02-2015 11:10,"Los Angeles, CA",Pacific Time (US & Canada),0
5.69202E+17,positive,1,,,Virgin America,,carlosondrums,,0,@VirginAmerica Very nicely done. 👏,,21-02-2015 10:28,Las Vegas,Eastern Time (US & Canada),0
5.69198E+17,positive,1,,,Virgin America,,SunRighteous,,0,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,,21-02-2015 10:12,,Alaska,0
5.69181E+17,positive,0.6771,,,Virgin America,,InuAtah,,0,"@VirginAmerica classiq, luv Virgin America. Greetingz",,21-02-2015 09:03,Abuja,,0
5.69166E+17,positive,1,,,Virgin America,,moosekazmi,,0,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,,21-02-2015 08:04,"Las Piedras, Peru",,0
5.68945E+17,neutral,1,,,Virgin America,,daisy1016,,0,@VirginAmerica Grand Budapest Hotel #OscarsCountdown,,20-02-2015 17:28,Florida,Eastern Time (US & Canada),0
5.68942E+17,negative,0.6965,Bad Flight,0.3634,Virgin America,,stephanieslome,,0,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,,20-02-2015 17:16,San Francisco,Pacific Time (US & Canada),0
5.6892E+17,neutral,1,,,Virgin America,,FlexinFinessinB,,0,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,,20-02-2015 15:48,,Central Time (US & Canada),0
5.68911E+17,positive,1,,,Virgin America,,MaverickGamersX,,0,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,,20-02-2015 15:10,Follow/Retweet for giveaways!,,0
5.68897E+17,positive,1,,,Virgin America,,CanPOREOTICS,,0,@VirginAmerica fav airline,,20-02-2015 14:17,"Anaheim, CA",,0
5.6889E+17,neutral,1,,,Virgin America,,LizaUtter,,0,👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,,20-02-2015 13:48,"Malibu, CA",Pacific Time (US & Canada),0
5.68841E+17,positive,1,,,Virgin America,,polaroidmisha,,0,@VirginAmerica would love to do more for virgin just like I do for @GoPro,"[0.0, 0.0]",20-02-2015 10:32,San Francisco,Pacific Time (US & Canada),0
5.68834E+17,neutral,1,,,Virgin America,,JetBlueNews,,0,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,,20-02-2015 10:05,USA,Sydney,0
5.6883E+17,negative,1,Customer Service Issue,0.6655,Virgin America,,RobynMatza,,0,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,"[0.0, 0.0]",20-02-2015 09:50,"New York, NY",Eastern Time (US & Canada),0
5.68828E+17,neutral,1,,,Virgin America,,sbaaronson,,0,@VirginAmerica @madbee95 check the website before you go to the airport!,,20-02-2015 09:42,Los Angeles,,0
5.68825E+17,negative,1,Customer Service Issue,1,Virgin America,,miekd,,0,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,,20-02-2015 09:28,San Francisco,Pacific Time (US & Canada),0
5.68776E+17,negative,1,Flight Booking Problems,0.6667,Virgin America,,perMicah,,0,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,,20-02-2015 06:15,"Brooklyn, NY",Quito,0
5.68662E+17,negative,1,Flight Booking Problems,0.6841,Virgin America,,davidhfe,,0,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,,19-02-2015 22:44,"San Francisco, CA",Pacific Time (US & Canada),0
5.68608E+17,neutral,0.6461,,,Virgin America,,AQR415,,0,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,,19-02-2015 19:06,San Francisco,Pacific Time (US & Canada),0
5.68577E+17,negative,1,Customer Service Issue,0.6543,Virgin America,,joyabsalon,,0,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,,19-02-2015 17:04,Northern Virginia,Eastern Time (US & Canada),0
5.68525E+17,positive,1,,,Virgin America,,graveyardtravel,,0,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",,19-02-2015 13:39,"Portland, Oregon",Tijuana,0
5.6852E+17,negative,0.3617,Flight Booking Problems,0.3617,Virgin America,,jamonholmgren,,0,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3,,19-02-2015 13:18,"Vancouver, WA",Arizona,0
5.6849E+17,positive,1,,,Virgin America,,beasharif,,0,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",,19-02-2015 11:20,The World,Pacific Time (US & Canada),0
5.68447E+17,negative,1,Can't Tell,1,Virgin America,,fattbelly,,0,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,,19-02-2015 08:29,S F,,0
5.68434E+17,positive,1,,,Virgin America,,heatherbeckel,,0,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,,19-02-2015 07:38,ATX,Central Time (US & Canada),0
5.68203E+17,neutral,1,,,Virgin America,,pointsguy,,3,"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C",,18-02-2015 16:19,United States,Central Time (US & Canada),0
5.682E+17,neutral,0.3483,,0,Virgin America,,timlopez,,0,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0,,18-02-2015 16:05,Southern California,Pacific Time (US & Canada),0
5.68193E+17,neutral,0.639,,,Virgin America,,franks105,,0,@VirginAmerica you should have 39 dollar LAX-Las fares!!!,,18-02-2015 15:39,Hogwarts,Pacific Time (US & Canada),0
5.68104E+17,negative,0.6651,Flight Booking Problems,0.3413,Virgin America,,onewil,,0,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!,"[0.0, 0.0]",18-02-2015 09:46,"San Francisco, CA",Pacific Time (US & Canada),0
5.681E+17,positive,1,,,Virgin America,,jtwiegele,,0,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,,18-02-2015 09:30,"San Francisco, CA",,0
5.681E+17,neutral,1,,,Virgin America,,sporch62,,0,"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL).",,18-02-2015 09:29,,,0
5.68095E+17,positive,0.6655,,,Virgin America,,chrisdpatton,,0,"@VirginAmerica , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?",,18-02-2015 09:11,"Annapolis, Maryland",,0
5.68083E+17,negative,1,Bad Flight,0.3556,Virgin America,,iamWalkerR,,0,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers,,18-02-2015 08:22,"New York, NY",Central Time (US & Canada),0
5.68069E+17,neutral,1,,,Virgin America,,0504Traveller,,0,"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",,18-02-2015 07:24,,Central Time (US & Canada),0
5.67893E+17,positive,0.6559,,,Virgin America,,KallysAlbertSr,,0,@VirginAmerica That's classy.,,17-02-2015 19:47,USA,,0
5.67815E+17,positive,1,,,Virgin America,,mynejas,,0,@VirginAmerica I love the dancing little richard. cool beans.,,17-02-2015 14:36,"Oakland, CA",Pacific Time (US & Canada),0
5.67812E+17,positive,1,,,Virgin America,,mynejas,,0,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!,,17-02-2015 14:26,"Oakland, CA",Pacific Time (US & Canada),0
5.67811E+17,neutral,0.6446,,0,Virgin America,,SimplyImplicit,,0,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,,17-02-2015 14:22,"Los Angeles, CA",Central Time (US & Canada),0
5.67807E+17,neutral,0.6731,,,Virgin America,,EnonThaPhenom,,0,.@VirginAmerica I heard he has a virgin mobile hotspot ;),,17-02-2015 14:06,"Oakland, Ca",Pacific Time (US & Canada),0
5.67797E+17,neutral,0.6831,,0,Virgin America,,judy_202,,0,@VirginAmerica how come ABC is the only one of the network channels you don't have?,,17-02-2015 13:24,"Washington, DC",Eastern Time (US & Canada),0
5.67785E+17,negative,1,Customer Service Issue,1,Virgin America,,RyScanlon,,0,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,,17-02-2015 12:38,,Atlantic Time (Canada),0
5.67767E+17,neutral,1,,,Virgin America,,paulhting,,0,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,,17-02-2015 11:27,"Charlottesville, VA",Eastern Time (US & Canada),0
5.67759E+17,positive,1,,,Virgin America,,kellitweets,,0,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.,,17-02-2015 10:54,Texas,Central Time (US & Canada),0
5.67743E+17,positive,1,,,Virgin America,,ryan_kravontka,,0,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,,17-02-2015 09:49,"Los Angeles, CA",Tijuana,0
5.67727E+17,positive,1,,,Virgin America,,BBahreman,,4,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,,17-02-2015 08:48,Living in a Gangsters Paradise,Pacific Time (US & Canada),0
5.67726E+17,neutral,1,,,Virgin America,,PlayjtLV,,0,“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,"[36.08546367, -115.31814055]",17-02-2015 08:43,"Las Vegas, NV",,0
5.70306E+17,negative,0.3475,Can't Tell,0.3475,United,,samidip,,0,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),,24-02-2015 11:36,"Erie, PA",Eastern Time (US & Canada),0
5.70306E+17,neutral,0.645,,0,United,,karenmcgregor86,,0,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,,24-02-2015 11:33,"Kilmarnock, now Edinburgh. ",Edinburgh,0
5.703E+17,positive,1,,,United,,BK_TheBri,,0,@united Thanks. It is on the same ticket.,,24-02-2015 11:10,"Portland, OR",,0
5.70299E+17,negative,1,Flight Booking Problems,0.6816,United,,Ashley_Jeffris,,0,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.,,24-02-2015 11:08,Las Vegas ,Eastern Time (US & Canada),0
5.70295E+17,positive,1,,,United,,Anntasia,,0,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,"[39.8621249, -104.6740909]",24-02-2015 10:50,New Jersey/Maryland,Pacific Time (US & Canada),0
5.70291E+17,neutral,1,,,United,,nydia376,,0,@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,,24-02-2015 10:37,USA,,0
5.70291E+17,negative,1,Customer Service Issue,0.6459,United,,nate2482,,0,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.,,24-02-2015 10:35,"Parkersburg, WV",Eastern Time (US & Canada),0
5.70277E+17,negative,0.6695,Can't Tell,0.3356,United,,logainne,,0,@united When will email address/username sign-on be available? It's been a while.,,24-02-2015 09:41,945XX to 111XX,Eastern Time (US & Canada),0
5.70275E+17,negative,0.6791,Damaged Luggage,0.6791,United,,Joestudent11,,0,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,,24-02-2015 09:34,"Jerusalem, Israel",Jerusalem,0
5.70273E+17,negative,1,Customer Service Issue,1,United,,Micaela4Mizzou,,0,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes,,24-02-2015 09:22,,Hawaii,0
5.7026E+17,negative,0.6281,Customer Service Issue,0.3391,United,,AldenGlobe,,0,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.,,24-02-2015 08:31,"Steamboat Springs, CO",Mountain Time (US & Canada),0
5.70259E+17,positive,1,,,United,,cehertz,,0,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,,24-02-2015 08:29,btv,,0
5.70259E+17,neutral,0.6466,,0,United,,Mateyush,,0,@united It was last night's 1235/ORD-LGA.,,24-02-2015 08:29,Above the B/D/N/Q/R/2/3/4/5,Eastern Time (US & Canada),0
5.70254E+17,negative,1,Late Flight,0.6548,United,,guichaves1989,,0,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys,,24-02-2015 08:10,,Central Time (US & Canada),0
5.70252E+17,negative,1,Late Flight,1,United,,PFlandersdc,,0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,,24-02-2015 08:01,,,0
