,text,label
10,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,4
22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,4
35,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,4
36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,4
53,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,4
57,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,4
63,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",4
68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,4
75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,4
82,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,4
84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,4
90,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",4
95,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",4
100,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,4
105,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",4
116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",4
121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",4
129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,4
132,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,4
135,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,4
138,@VirginAmerica always!!! Xoxo,4
139,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,4
