tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.69967E+17,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2/23/2015 13:08,New York + Panama,Eastern Time (US & Canada)
5.69596E+17,negative,1,Damaged Luggage,0.6501,Virgin America,,khartline,,0,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,,2/22/2015 12:34,Las Vegas,Pacific Time (US & Canada)
5.69594E+17,negative,1,Damaged Luggage,1,Virgin America,,khartline,,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,,2/22/2015 12:27,Las Vegas,Pacific Time (US & Canada)
5.69182E+17,negative,0.6473,Lost Luggage,0.3341,Virgin America,,RedSoxGirl1976,,0,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",,2/21/2015 9:10,Somewhere outside of Fenway,Eastern Time (US & Canada)
5.69022E+17,negative,1,Damaged Luggage,1,Virgin America,,khartline,,0,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,,2/20/2015 22:34,Las Vegas,Pacific Time (US & Canada)
5.68882E+17,negative,1,Lost Luggage,1,Virgin America,,snellbell,,0,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,,2/20/2015 13:16,,Quito
5.68812E+17,negative,1,Lost Luggage,1,Virgin America,,snellbell,,1,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",,2/20/2015 8:38,,Quito
5.68609E+17,negative,1,Lost Luggage,1,Virgin America,,j_payton,,0,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",,2/19/2015 19:10,San Francisco,Quito
5.67972E+17,negative,1,Damaged Luggage,0.3434,Virgin America,,total_janarchy,,0,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.,,2/18/2015 1:01,,Eastern Time (US & Canada)
5.70298E+17,negative,1,Lost Luggage,0.6886,United,,Nikki62878,,0,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",,2/24/2015 11:03,,
5.70282E+17,negative,1,Lost Luggage,0.7021,United,,Nikki62878,,0,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child,,2/24/2015 10:00,,
5.70275E+17,negative,0.6791,Damaged Luggage,0.6791,United,,Joestudent11,,0,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,,2/24/2015 9:34,"Jerusalem, Israel",Jerusalem
5.70275E+17,negative,1,Lost Luggage,0.6563,United,,Joestudent11,,0,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...,,2/24/2015 9:32,"Jerusalem, Israel",Jerusalem
5.70275E+17,negative,1,Lost Luggage,1,United,,johnkarpf,,0,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome,,2/24/2015 9:32,"Jacksonville, FL",Eastern Time (US & Canada)
5.70268E+17,negative,1,Damaged Luggage,0.6765,United,,jasonpblakey,,0,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?,"[52.59657643, -2.19877833]",2/24/2015 9:04,,London
